Entity,Code,Year,Solar PV Module Cost (2019 US$ per W),Cumulative capacity
World,OWID_WRL,1976,106.0862215,0.3
World,OWID_WRL,1977,80.62552832,0.85
World,OWID_WRL,1978,56.22569738,1.8
World,OWID_WRL,1979,47.73879966,3.3
World,OWID_WRL,1980,35.00845309,6.5
World,OWID_WRL,1981,26.52155537,12.5
World,OWID_WRL,1982,22.27810651,20
World,OWID_WRL,1983,19.09551986,43
World,OWID_WRL,1984,16.97379544,67
World,OWID_WRL,1985,14.85207101,90
World,OWID_WRL,1986,11.13905325,120
World,OWID_WRL,1987,8.486897718,150
World,OWID_WRL,1988,7.532121724,175
World,OWID_WRL,1989,8.168639053,220
World,OWID_WRL,1990,8.805156382,270
World,OWID_WRL,1991,7.95646661,330
World,OWID_WRL,1992,7.21386306,400
World,OWID_WRL,1993,7.107776839,450
World,OWID_WRL,1994,6.365173288,500
World,OWID_WRL,1995,5.834742181,575
World,OWID_WRL,1996,6.046914624,700
World,OWID_WRL,1997,6.365173288,800
World,OWID_WRL,1998,5.728655959,975
World,OWID_WRL,1999,5.092138631,1250
World,OWID_WRL,2000,4.879966188,1500
World,OWID_WRL,2001,4.773879966,1750
World,OWID_WRL,2002,4.031276416,2300
World,OWID_WRL,2003,3.978233305,3000
World,OWID_WRL,2004,4.137362637,4300
World,OWID_WRL,2005,4.243448859,6000
World,OWID_WRL,2006,4.455621302,8500
World,OWID_WRL,2007,4.137362637,10300
World,OWID_WRL,2008,3.447802198,20000
World,OWID_WRL,2009,2.386939983,30000
World,OWID_WRL,2010,2.04475,40279
World,OWID_WRL,2011,1.67725,72034
World,OWID_WRL,2012,0.876416667,101518
World,OWID_WRL,2013,0.696333333,135754
World,OWID_WRL,2014,0.6415,171589
World,OWID_WRL,2015,0.5965,217341
World,OWID_WRL,2016,0.5505,291079
World,OWID_WRL,2017,0.462166667,383596
World,OWID_WRL,2018,0.4115,480984
World,OWID_WRL,2019,0.37725,578553